name	year	gross	runtime	genre	imdb	metascore	director	votes	title_length	genre_num
The Muppet Movie	1979	76657000	95	Adventure	7.6	74	James Frawley	32802	16	7
Escape from Alcatraz	1979	4.3e+07	112	Action	7.6	76	Don Siegel	121731	20	3
Midnight Express	1978	3.5e+07	121	Biography	7.6	59	Alan Parker	73662	16	4
Close Encounters of the Third Kind	1977	132088635	138	Drama	7.6	90	Steven Spielberg	184966	34	1
The Long Goodbye	1973	959000	112	Comedy	7.6	87	Robert Altman	26337	16	6
Giù la testa	1971	696690	157	Drama	7.6	77	Sergio Leone	30144	12	1
Kelly's Heroes	1970	1378435	144	Adventure	7.6	50	Brian G. Hutton	45338	14	7
The Jungle Book	1967	141843612	78	Animation	7.6	65	Wolfgang Reitherman	166409	15	8
A Hard Day's Night	1964	13780024	87	Comedy	7.6	96	Richard Lester	40351	18	6
From Here to Eternity	1953	30500000	118	Drama	7.6	85	Fred Zinnemann	43374	21	1
